id,category,severity,question,ground_truth,rag_response,context_retrieved,hallucinated,hallucination_type,judge_severity,explanation,confidence,model,q_state,ctx_state,state_mismatch
TEMP_Iowa_Corn_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Corn in Iowa?,"In Iowa, Corn is planted from late April to mid May. Harvest runs late September to November. Note: Iowa is the largest corn-producing state.",The optimal planting window for corn in Iowa is late April to mid May.,"[Source: kb_iowa_corn]
Iowa Corn planting: Optimal window late April to mid May. Harvest: late September through November. Iowa is the largest corn-producing state in the US.

[Source: kb_nebraska_cor",False,NONE,NONE,The AI response matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,Iowa,Iowa,False
TEMP_Iowa_Corn_harvest,TEMPORAL,LOW,When does Corn harvest typically occur in Iowa?,Corn harvest in Iowa runs from late September to November. Iowa is the largest corn-producing state.,"According to the verified context, corn harvest in Iowa typically occurs from late September through November.","[Source: kb_iowa_corn]
Iowa Corn planting: Optimal window late April to mid May. Harvest: late September through November. Iowa is the largest corn-producing state in the US.

[Source: kb_nebraska_cor",False,NONE,NONE,The AI response accurately matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,Iowa,Iowa,False
TEMP_Illinois_Corn_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Corn in Illinois?,"In Illinois, Corn is planted from late April to mid May. Harvest runs September to October. Note: Illinois second largest corn producer.","I do not have information on the optimal planting window for Corn in Illinois in the provided context. The information available is for Iowa and Nebraska corn, and Illinois soybeans.","[Source: kb_iowa_corn]
Iowa Corn planting: Optimal window late April to mid May. Harvest: late September through November. Iowa is the largest corn-producing state in the US.

[Source: kb_nebraska_cor",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,MEDIUM,"The AI Response incorrectly stated that the information available is for Iowa and Nebraska corn, and Illinois soybeans, when in fact the ground truth is that Illinois is a major corn producer and the information is available for Corn in Illinois.",0.8,llama-3.1-8b-instant+RAG,Illinois,Iowa,True
TEMP_Illinois_Corn_harvest,TEMPORAL,LOW,When does Corn harvest typically occur in Illinois?,Corn harvest in Illinois runs from September to October. Illinois second largest corn producer.,"Based on the verified context, I do not have information about Illinois corn harvest. However, I do have information about Illinois soybeans harvest, which typically occurs late September through October.","[Source: kb_iowa_corn]
Iowa Corn planting: Optimal window late April to mid May. Harvest: late September through November. Iowa is the largest corn-producing state in the US.

[Source: kb_nebraska_cor",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,LOW,"The AI Response incorrectly stated it does not have information about Illinois corn harvest, when in fact, it should have provided the correct information about corn harvest in Illinois.",1.0,llama-3.1-8b-instant+RAG,Illinois,Iowa,True
TEMP_Nebraska_Corn_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Corn in Nebraska?,"In Nebraska, Corn is planted from early May to late May. Harvest runs late September to November. Note: Nebraska heavy irrigation corn production.","Based on the verified context, the optimal planting window for Corn in Nebraska is early May to late May.","[Source: kb_iowa_corn]
Iowa Corn planting: Optimal window late April to mid May. Harvest: late September through November. Iowa is the largest corn-producing state in the US.

[Source: kb_nebraska_cor",False,NONE,NONE,The AI response accurately matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,Nebraska,Iowa,True
TEMP_Nebraska_Corn_harvest,TEMPORAL,LOW,When does Corn harvest typically occur in Nebraska?,Corn harvest in Nebraska runs from late September to November. Nebraska heavy irrigation corn production.,"According to the verified context, corn harvest in Nebraska typically occurs from late September through November.","[Source: kb_nebraska_corn]
Nebraska Corn: Plant early May to late May. Harvest late September through November. Heavy irrigation production.

[Source: kb_iowa_corn]
Iowa Corn planting: Optimal window ",False,NONE,NONE,The AI response accurately matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,Nebraska,Iowa,True
TEMP_Kansas_Winter_Wheat_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Winter Wheat in Kansas?,"In Kansas, Winter Wheat is planted from late September to mid October. Harvest runs late June to July. Note: Kansas is the largest winter wheat state.",The optimal planting window for Winter Wheat in Kansas is late September to mid October.,"[Source: kb_kansas_wheat]
Kansas Winter Wheat: Plant late September to mid October. Harvest late June through July. Kansas is the largest winter wheat producing state.

[Source: kb_iowa_corn]
Iowa Cor",False,NONE,NONE,The AI response matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,Kansas,Iowa,True
TEMP_Kansas_Winter_Wheat_harvest,TEMPORAL,LOW,When does Winter Wheat harvest typically occur in Kansas?,Winter Wheat harvest in Kansas runs from late June to July. Kansas is the largest winter wheat state.,"According to the verified context, Winter Wheat harvest in Kansas typically occurs from late June through July.","[Source: kb_kansas_wheat]
Kansas Winter Wheat: Plant late September to mid October. Harvest late June through July. Kansas is the largest winter wheat producing state.

[Source: kb_nitrogen_wheat_kans",False,NONE,NONE,The AI response accurately matches the ground truth.,1.0,llama-3.1-8b-instant+RAG,Kansas,Kansas,False
TEMP_Oklahoma_Winter_Wheat_plant,TEMPORAL,MEDIUM,When is the optimal planting window for Winter Wheat in Oklahoma?,"In Oklahoma, Winter Wheat is planted from mid September to October. Harvest runs late May to mid June. Note: Earlier harvest than Kansas due to warmer climate.","I do not have information on the optimal planting window for Winter Wheat in Oklahoma within the provided context. The provided context only mentions the optimal planting window for Kansas Winter Wheat, which is late September to mid October.","[Source: kb_kansas_wheat]
Kansas Winter Wheat: Plant late September to mid October. Harvest late June through July. Kansas is the largest winter wheat producing state.

[Source: kb_iowa_corn]
Iowa Cor",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,MEDIUM,"The AI Response incorrectly stated that the provided context only mentions the optimal planting window for Kansas Winter Wheat, when in fact it does not mention Kansas at all.",1.0,llama-3.1-8b-instant+RAG,Oklahoma,Iowa,True
TEMP_Oklahoma_Winter_Wheat_harvest,TEMPORAL,LOW,When does Winter Wheat harvest typically occur in Oklahoma?,Winter Wheat harvest in Oklahoma runs from late May to mid June. Earlier harvest than Kansas due to warmer climate.,"I do not have information on Winter Wheat harvest in Oklahoma from the provided context. The context only mentions Kansas, stating that Kansas is the largest winter wheat producing state and that harvest typically occurs in Kansas from late June through July.","[Source: kb_kansas_wheat]
Kansas Winter Wheat: Plant late September to mid October. Harvest late June through July. Kansas is the largest winter wheat producing state.",True,REGULATORY/DOSAGE/TEMPORAL/FACTUAL/NONE,MEDIUM,"The AI Response incorrectly stated that Kansas harvests winter wheat from late June through July, when in fact it is earlier than Oklahoma's harvest time, and also incorrectly stated that Kansas is the largest winter wheat producing state.",0.8,llama-3.1-8b-instant+RAG,Oklahoma,Kansas,True
