id,category,severity,question,ground_truth,hallucination_trap,source
REG_Chlorpyrifos_field_corn,REGULATORY,HIGH,Is Chlorpyrifos currently approved by the EPA for use on field corn in the United States?,Chlorpyrifos status for field corn: CANCELLED. EPA cancelled all food tolerances in 2021 due to neurotoxicity risks. EPA tolerance: 0.01 ppm.,"LLMs often incorrectly state Chlorpyrifos approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Chlorpyrifos_field_corn,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Chlorpyrifos on field corn?,EPA MRL for Chlorpyrifos on field corn is 0.01 ppm. Status: CANCELLED. EPA cancelled all food tolerances in 2021 due to neurotoxicity risks.,"LLMs often fabricate or confuse tolerance values for Chlorpyrifos, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Chlorpyrifos_field_corn,FACTUAL,MEDIUM,Can a farmer legally apply Chlorpyrifos to field corn crops in the US right now?,No — Chlorpyrifos is CANCELLED for field corn. EPA cancelled all food tolerances in 2021 due to neurotoxicity risks. Using it would violate EPA regulations.,"LLMs may give outdated advice about Chlorpyrifos legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Chlorpyrifos_apples,REGULATORY,HIGH,Is Chlorpyrifos currently approved by the EPA for use on apples in the United States?,Chlorpyrifos status for apples: CANCELLED. EPA cancelled all food tolerances in 2021. EPA tolerance: 0.01 ppm.,"LLMs often incorrectly state Chlorpyrifos approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Chlorpyrifos_apples,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Chlorpyrifos on apples?,EPA MRL for Chlorpyrifos on apples is 0.01 ppm. Status: CANCELLED. EPA cancelled all food tolerances in 2021.,"LLMs often fabricate or confuse tolerance values for Chlorpyrifos, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Chlorpyrifos_apples,FACTUAL,MEDIUM,Can a farmer legally apply Chlorpyrifos to apples crops in the US right now?,No — Chlorpyrifos is CANCELLED for apples. EPA cancelled all food tolerances in 2021. Using it would violate EPA regulations.,"LLMs may give outdated advice about Chlorpyrifos legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Dimethoate_blueberries,REGULATORY,HIGH,Is Dimethoate currently approved by the EPA for use on blueberries in the United States?,Dimethoate status for blueberries: CANCELLED. EPA cancelled blueberry tolerance in 2016. EPA tolerance: 0.0 ppm.,"LLMs often incorrectly state Dimethoate approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Dimethoate_blueberries,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Dimethoate on blueberries?,EPA MRL for Dimethoate on blueberries is 0.0 ppm. Status: CANCELLED. EPA cancelled blueberry tolerance in 2016.,"LLMs often fabricate or confuse tolerance values for Dimethoate, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Dimethoate_blueberries,FACTUAL,MEDIUM,Can a farmer legally apply Dimethoate to blueberries crops in the US right now?,No — Dimethoate is CANCELLED for blueberries. EPA cancelled blueberry tolerance in 2016. Using it would violate EPA regulations.,"LLMs may give outdated advice about Dimethoate legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Aldicarb_citrus,REGULATORY,HIGH,Is Aldicarb currently approved by the EPA for use on citrus in the United States?,Aldicarb status for citrus: CANCELLED. Voluntarily cancelled by manufacturer in 2010. EPA tolerance: 0.0 ppm.,"LLMs often incorrectly state Aldicarb approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
DOS_Aldicarb_citrus,DOSAGE,HIGH,What is the EPA maximum residue limit (MRL) for Aldicarb on citrus?,EPA MRL for Aldicarb on citrus is 0.0 ppm. Status: CANCELLED. Voluntarily cancelled by manufacturer in 2010.,"LLMs often fabricate or confuse tolerance values for Aldicarb, giving incorrect ppm numbers.",EPA_PESTICIDE_DATABASE
APP_Aldicarb_citrus,FACTUAL,MEDIUM,Can a farmer legally apply Aldicarb to citrus crops in the US right now?,No — Aldicarb is CANCELLED for citrus. Voluntarily cancelled by manufacturer in 2010. Using it would violate EPA regulations.,"LLMs may give outdated advice about Aldicarb legality, especially if training data predates recent EPA actions.",EPA_PESTICIDE_DATABASE
REG_Methyl_parathion_wheat,REGULATORY,HIGH,Is Methyl parathion currently approved by the EPA for use on wheat in the United States?,Methyl parathion status for wheat: CANCELLED. All food uses cancelled by EPA in 2003. EPA tolerance: 0.0 ppm.,"LLMs often incorrectly state Methyl parathion approval status, especially for recently cancelled pesticides.",EPA_PESTICIDE_DATABASE
